Timeline,Bank ID,type of bank,Onsite atm,offsite atm,pos terminals,micro atms,credit cards,debit cards,credit card volume at pos,credit card value at pos,credit card volume at online,credit card value at online,credit card volume at cash withdrawal,credit card value at cash withdrawal,debit card volume at pos,debit card value at pos,debit card volume at online,debit card value at online,debit card volume at atm cash withdrawl,debit card value at atm cash withdrawal,debit card volume at pos cash withdrawal,debit card value at pos cash withdrawal,total credit card volume,total credit card value,total debit card volume,total debit card value,Greater volume,greater value,greater card
44621,1,1,8757,2730,27074,35517,1103921,74522207,1165443,3686313.354,1085014,4499567.594,21838,101121.587,8519967,15691963.28,4484921,7721120.687,29706035,140457630.6,2163,1929.46,2272295,8287002.535,42713086,163872644,1,1,1
44621,2,1,2507,2751,45542,10834,166751,44856938,154672,508947.3456,122496,335866.8748,10184,59089.16927,5121057,8817597.551,3213983,4057260.803,18870699,74143941.22,16653,16314.494,287352,903903.3897,27222392,87035114.07,1,1,1
44621,3,1,1694,434,2795,0,77677,12264810,96808,407564.181,0,0,1225,5727.857,2889361,4340817.315,1131118,1477836.441,7541893,32295602.25,0,0,98033,413292.038,11562372,38114256,1,1,1
44621,4,1,8071,4139,50032,8096,927694,46459485,662053,1715137.017,305102,965897.952,56673,284861.1412,10233195,19323217.08,4791270,7906774.629,32586175,148809517.9,2798,2467.67114,1023828,2965896.11,47613438,176041977.3,1,1,1
44621,5,1,2389,587,3957,8015,0,30197222,0,0,0,0,0,0,2618263,5511293.534,486339,946614.0053,9716712,43780949.16,9887,9946.029,0,0,12831201,50248802.72,1,1,1
44621,6,1,4299,626,14981,9322,154342,26961021,129022,378092.66,73904,237320.611,3511,22363.767,6087414,10556403.98,3068094,4255370.499,21419031,99716221.7,32990,32410.09899,206437,637777.038,30607529,114560406.3,1,1,1
44621,7,1,2742,613,0,0,74083,20508718,59749,142499.791,26426,63550.329,867,4013.254,3664568,6294023.611,1386870,2078848.13,15137144,64870005.33,0,0,87042,210063.374,20188582,73242877.07,1,1,1
44621,8,1,657,19,1091,357,0,3546410,0,0,0,0,0,0,591821,1291990.738,386245,785117.6567,1689903,7692797.8,0,0,0,0,2667969,9769906.195,1,1,1
44621,9,1,8211,5143,49833,11265,327893,45957631,443277,1296879.242,180344,576375.1412,3401,11026.03259,9324599,18895014.44,5918799,8948889.363,31840380,156081568.3,0,0,627022,1884280.416,47083778,183925472.1,1,1,1
44621,10,1,26189,39350,924374,49913,13766861,275922932,22282182,67147844.14,20617840,137034097.9,92610,340033.6232,59661111,114412092.5,33511927,54276184.37,194459535,969705160.8,83123,77101.65333,42992632,204521975.7,287715696,1138470539,1,1,1
44621,11,1,2095,222,11223,3568,0,11300018,0,0,0,0,0,0,1838490,3647945.542,1283322,1931029.22,7004324,30931578.07,2179,2007.684,0,0,10128315,36512560.51,1,1,1
44621,12,1,8042,3190,197533,8049,538325,47932253,438865,1307558.885,282726,950075.4035,3485,19392.70925,10753368,18087630.55,7606876,10848267.14,49725391,150870680.9,13354,13311.7584,725076,2277026.998,68098989,179819890.4,1,1,1
44621,13,2,5748,11174,1010244,710,9034829,27747647,13841270,41222880.02,9407975,52642162.95,45631,185105.5551,12387481,27686318.61,6319140,18441049.67,22320612,137931664,0,0,23294876,94050148.53,41027233,184059032.3,1,1,1
44621,14,2,466,5,36339,0,0,4966096,0,0,0,0,0,0,592668,1405189.946,394699,918312.6872,3082731,14005029.11,27811,27834.092,0,0,4097909,16356365.83,1,1,1
44621,15,2,1110,622,0,1067,0,804171,0,0,0,0,0,0,248523,408223.7523,59475,105540.0519,498802,2370432.926,42,28.23,0,0,806842,2884224.96,1,1,1
44621,16,2,407,52,7927,20366,1834,2579284,1494,4334.39842,433,1626.48308,8,18,952999,1687005.053,257331,409040.2333,2757082,14527320.64,0,0,1935,5978.8815,3967412,16623365.93,1,1,1
44621,17,2,341,8,8980,0,3778,854723,6334,13941.52215,3939,14687.33401,205,1475.93558,273325,506682.378,98394,349894.1406,331189,1951474.781,0,0,10478,30104.79174,702908,2808051.3,1,1,1
44621,18,2,214,44,1472,0,7134,503775,16955,34979.60561,6809,18950.62358,120,437.68922,246496,393789.8589,63706,105083.9055,464152,2044583.046,0,0,23884,54367.91841,774354,2543456.81,1,1,1
44621,19,2,1505,380,16569,0,134841,11129386,280863,936308.8695,381977,1532227.487,1771,9438.66812,5243651,8564523.872,2268479,4444410.975,9289376,45815354.48,297,238.246,664611,2477975.025,16801803,58824527.57,1,1,1
44621,20,2,8703,9427,1071935,3324,16536735,43041155,29331886,108544181.5,27983613,176400101,137659,854422.6368,23236053,52195450.61,16237685,40119274.1,40385394,242976848.5,27684,27694.28736,57453158,285798705.1,79886816,335319267.5,1,1,1
44621,21,2,8402,8175,944320,3693,12978825,36655920,19424563,69564134.68,23318694,137741763,48760,229472.311,17199869,40590934.09,7575836,24577625.12,24390197,154030784.8,91,58.772,42792017,207535370,49165993,219199402.8,1,1,1
44621,22,2,2221,1182,25385,224,41509,13042334,68252,197503.871,51093,177028.4155,451,2447.23028,2902263,5362691.357,1050806,1956517.367,7354059,36485373.28,532,529.15015,119796,376979.5168,11307660,43805111.15,1,1,1
44621,23,2,505,214,26560,11522,799219,4076204,1367730,4899089.812,1325904,7584240.959,11799,43601.4,1414101,2015650.27,508390,1428377.379,3103785,12878265.33,0,0,2705433,12526932.17,5026276,16322292.98,1,1,1
